Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Apprentis d'Auteuil,MECS Saint-Benoit I Apprentis d'Auteuil ,171.0,La maison d'enfants à caractère social (MECS) Saint-Benoît reçoit en internat et en accueil de jour 171 jeunes âgés de 6 à 18 ans
Ile de France,Val de Marne,Hébergement,Apprentis d'Auteuil,MECS Saint-Esprit I Apprentis d'Auteuil,183.0,"Accueil de 180 garçons et filles âgés de 3 à 16 ans.L’établissement est composé de :

Une structure principale au 126, rue Paul Vaillant-Couturier à Orly, accueillant cinq lieux de vie (10 à 14 jeunes par unité) ;
Une unité de petits de dix places, composée d’une salle psychomotricité, sanitaires adaptés, baignoires…
Deux lieux de vie au 95, rue Paul Vaillant-Couturier à Orly (12 jeunes par unité) ;
Des pavillons implantés à proximité de la structure principale (11 à 12 jeunes par unité."
Ile de France,Essone,Accompagnement,La VAGA,AE d'Etampes I La VAGA,230.0,1 service d’action éducative auprès des Familles exerce 230 mesures d’action éducative (0-18 ans).
Pays de la Loire,Maine et Loire,AEMO,INALTA,AEMO 49 I INALTA,240.0,"240 mineurs, de 0 à 18 ans, résidant sur le département du Maine-et-Loire."
Auvergne Rhône Alpes,Rhone,Placement Familial,Acolea,SAF I Acolea,240.0,"Notre Service Accueil Familial accompagne 240 enfants de 0 à 18 ans, placés par la justice ou par la Métropole de Lyon du fait de problématiques familiales (maltraitance, carences ou autres difficultés plus ou moins durables). La mesure de placement s’exerce, pour notre service, au sein de familles d’accueil salariées et formées au métier."
Ile de France,Paris,Placement Familial,Asso Jean Cotxet,Service d'accueil familiale I Asso Jean Cotxet,241.0,garçons et filles de 0 à 18 ans et jeunes majeurs jusqu’à 21 ans.
Ile de France,Essone,Hébergement,La VAGA,AE de la Bièvre I La VAGA,50.0,"1 maison d’enfants à Verrières-le-Buisson accueille 50 garçons et filles âgés de 4 à 18 ans, répartis au sein de 4 unités de vie, facilitant l’accueil de fratries. Projet basé sur la scolarité, les soins et l’ouverture sur les loisirs et la culture."
Nouvelle Aquitaine,Haute Vienne,AEMO,ALSEA 87,AEMO de Limoges I ALSEA 87,375.0,"Le service d’AEMO est autorisé à suivre un total de 375 mesures, soit 354 mesures d’AEMO, 7 mesures d’AEMO renforcée et 7 mesures d’AEMO avec hébergement (valent 21), concernant un public mixte de mineurs de 0 à 18 ans"
Nouvelle Aquitaine,Gironde,Hébergement,Institut Don Bosco,MNA 33 I Institut Don Bosco ,420.0,"Les plateformes MNA33 de L’Institut Don Bosco accueillent 420 jeunes mineurs étrangers dits Mineurs Non-Accompagnés (MNA), âgés de 14 à 21 ans."
Bourgogne Franche Comté,Cote d'Or,AEMO,ACODEGE,SAEMO de Côte-d'or I ACODEGE,800.0,"Le Service d’Action Éducative en Milieu Ouvert accompagne 800 mineurs de 0 à 18 ans, sur l’ensemble du département de la Côte-d’Or."
Grand Est,Bas Rhin,Hébergement,Apprentis d'Auteuil,Maison d'accueil des familles I Apprentis d'Auteuil,,"La maison Sainte Odile est un service d'accueil des familles. Ce service permet à des familles d'enfants placés de retrouver leur enfant le temps d'une journée, d'un week-end ou de vacances scolaires."
Ile de France,Essone,AEMO,Groupe SOS Jeunesse,AEMO 91 I Groupe SOS Jeunesse,160.0,"0 à 18 ans,  ordonnée par un juge des enfants du tribunal d’Evry"
Ile de France,Val de Marne,Accueil de jour,Groupe SOS Jeunesse,SAJE 94 I Groupe SOS Jeunesse,2.0,"Le service s’adresse à des adolescents filles et garçons âgés de 14 à 19 ans originaires du département du Val-de-Marne, en profonde difficulté, éloignés ou exclus du système scolaire ou des dispositifs de formation professionnelle. Ils sont orientés par les services de Protection de l’Enfance ou confiés sur décision judiciaire du fait des difficultés éducatives rencontrées par leurs parents ou/et les institutions de droit commun qui les prennent en charge (établissements scolaires, centres de formation professionnelle…). le SAJE propose un hébergement de deux places en famille d’accueil  en cas de situation de crise et sur une courte durée."
Ile de France,Val de Marne,AEMO,Asso Olga Spitzer,AEMO I Asso Olga Spitzer,700.0,Des mesures d’Assistance Educative en Milieu Ouvert (AEMO) auprès de 700 mineurs (article 375 et suivants du Code civil). Cette activité est habilitée conjointement par le Conseil départemental du Val de Marne et la Protection judiciaire de la jeunesse.
Ile de France,Essone,Hébergement,Groupe SOS Jeunesse,Lieu de Vie et d'Accueil (LVA) Le Trait d'Union I Groupe SOS Jeunesse,10.0,"Le  Trait  d’Union  propose  deux  lieux  de  prise en charge  : la maison principale ainsi  qu’un appartement autonome partagé situé à proximité. La  maison  a  une  capacité d’accueil de trois jeunes et leur enfant, principalement les moins autonomes. L’appartement peut quant à lui accueillir deux jeunes et leur enfant."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE + Accueil d'Urgence Les Cerisiers I Acolea,16.0,"L’internat sur site : en appartements collectifs de 8 à 10 places, avec chambres individuelles."
Ile de France,Val d'Oise,Hébergement,Groupe SOS Jeunesse,SAU 95 I Groupe SOS Jeunesse,12.0,12 et 18 ans. Il dispose de 10 places en hébergement collectif et 2 places en famille-relais.. Les jeunes sont accueillis pour une période de 3 mois renouvelable une fois.
Ile de France,Yvelines,Placement Familial,Groupe SOS Jeunesse,Service de Placement Familial (SPF) Yvelines I Groupe SOS Jeunesse,,"Agréé pour recevoir des garçons ou des filles âgées de 0 à 18 ans, la première mission du service est de proposer aux mineurs un accueil dans un autre milieu familial qui apporte protection physique et psychique, hébergement, éducation, soins à des mineurs victimes de carences éducatives, souvent lourdes, voire de maltraitance."
Nouvelle Aquitaine,Charente Maritime,AEMO,ADSEA 17,AEMO de Saintes I ADSEA 17,1040.0,"La mesure d'assistance éducative en milieu ouvert a pour but : d'aider les enfants et les parents, dans un moment de crise, afin de réduire le danger et les préjudices, d'agir sur l'environnement social et familial du mineur et d'en mobiliser les ressources, d'améliorer les relations familiales  et la compréhension mutuelle des droits et obligations de chacun, de favoriser l'exercice de la parentalité, de s'assurer que les conditions de vie du mineur sont conformes à son intérêt"
Pays de la Loire,Sarthe,AEMO,INALTA,AEMO 72 I INALTA,1050.0,"Il intervient à la demande de l'autorité judiciaire, auprès de 1050 mineurs, résidant en Sarthe."
Bourgogne Franche Comté,Doubs,AEMO,ADDSEA,AEMO I ADDSEA ,1064.0,Enfants et adolescents 0 – 18 ans
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,AE Mineurs étrangers + AE Jeunes Majeurs Laxou I Association REALISE,196.0,"107 adolescents âgés de 15 à 18 ans sont accueillis sur les 3 dispositifs (Hébergement, Appartements et Jeunes majeurs).
89 jeunes adultes âgés de 18 à 21 ans"
Auvergne Rhône Alpes,Ain,Hébergement,Le Prado,MECS du Seuil I Le Prardo,,"6 places en appartement de semi-autonomie

5 studios individuels

1 place d’urgence "
Ile de France,Val d'Oise,Hébergement,La VAGA,CP (Centre parental) I La VAGA,,"Le centre parental se donne pour objectif d’accueillir et d’accompagner 12 couples parentaux dont la femme est enceinte ou ayant un enfant de moins de 3 ans, en situation de vulnérabilité, psychique économique et sociale…"
Normandie,Eure,Accompagnement,Moissons Nouvelles,Service d'observation et de soutien à la parentalité I Moissons Nouvelles,12.0,"Nombre de mesures : 12
6-18ans
Mixte"
Bourgogne Franche Comté,Saône et Loire,Placement Familial,Prado Bourgogne,Placement Familial I Prado Bourgogne,124.0,"124 places en mixité, dont 2 au titre de l’accueil d’urgence, pour des enfants et adolescents de 0 à 18 ans et jeunes majeurs"
Bourgogne Franche Comté,Saône et Loire,AEMO,Sauvegarde71,AEMO 71 I Sauvegarde71,1250.0,1250 mesures en moyenne par mois (soit en flux 1 850 mesures gérées durant l’année civile).
Nouvelle Aquitaine,Gironde,Accueil de jour,Institut Don Bosco,Centre Parental La Miséricorde I Institut Don Bosco,,accueille des enfants de moins de trois ans accompagnés de leurs parents majeurs quand ceux-ci ont besoin d’un soutien éducatif dans l’exercice de leur fonction parentale
Pays de la Loire,Loire Atlantique,AEMO,ADAES 44,AEMO I ADAES 44,1992.0,Valeur par défaut
PACA,Var,Hébergement,Moissons Nouvelles,Centre Parental L'Opal I Moissons Nouvelles,,"L’Opal s’adresse à des familles dont la femme est enceinte, ou à des familles avec des enfants de moins de 3 ans, connaissant des difficultés dans leur fonction parentale et des problématiques de logement."
Ile de France,Val de Marne,Hébergement,Groupe SOS Jeunesse,Etablissement d'hébergement La Voie Lactée I Groupe SOS Jeunesse,,"Le centre maternel accueille 20 familles, soit 20 mères ou futures mères dès le 7ème mois de grossesse et jusqu’au 3 ans de l’enfant."
Ile de France,Val de Marne,Hébergement,Asso Jean Cotxet,AE Jacques Astruc I Asso Jean Cotxet,22.0,"La structure reçoit 22 garçons âgés de 12 à 18 ans. Les missions de l’établissement sont expressément tournées vers l’insertion sociale et professionnelle des jeunes en difficultés, à travers une prise en charge complète, toute l’année, incluant un suivi éducatif et scolaire. Le cadre institutionnel favorise l’émergence des projets de chacun des jeunes, de manière différenciée et individualisée."
Occitanie,Aveyron,Hébergement,Association L'Oustal,Internat jeunes I Association L'Oustal,24.0, Accueil collectif en petits groupes
Ile de France,Seine Saint Denis,AEMO,Asso Jean Cotxet,AEMO 93 I Asso Jean Cotxet,263.0,"Les interventions sont réalisées au domicile des familles dans le cadre d’un accompagnement individuel mais également collectif, au travers d’actions de groupes telles qu’un atelier multisports, des groupes de parents, un atelier vidéo, des séjours. Ces actions se déroulent sur l’année et répondent à des besoins repérés ; elles sont donc en constante évolution"
Ile de France,Essone,Hébergement,Asso Jean Cotxet,AE de Palaiseau I Asso Jean Cotxtet,,"L’établissement reçoit 12 jeunes en internat, âgés de 12 à 18 ans, et 15 jeunes majeurs en service appartements / studios, au-delà de 18 ans."
Grand Est,Haute Marne,AEMO,Lucy Lebon,AEMO de Chaumont I Fondation Lucy Lebon,300.0,Valeur par défaut
Ile de France,Val d'Oise,AEMO,La VAGA,AEMO I La VAGA,300.0,300 mesures d'actions éducatives en milieu ouvert
Ile de France,Seine Saint Denis,Accueil de jour,Groupe SOS Jeunesse,SAEJ 93 I Groupe SOS Jeunesse,,Les indications d’orientation vers le service sont multiples mais recouvrent toujours une difficulté repérée dans les relations parents/enfants avec un impact sur le développement de ce dernier.
Centre Val de Loire,Indre et Loire,AEMO,Apprentis d'Auteuil,AEMO I Apprentis d'Auteuil,350.0,Valeur par défaut
Centre Val de Loire,Loiret,Accompagnement,La VAGA,AE du Montargois I La VAGA,40.0,"1 espace de rencontres pour permettre à des enfants de rencontrer un parent ou un membre de leur famille dans un lieu neutre, accompagné par des professionnels – 40 mesures en file active."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Notre Dame I Acolea,52.0,"GROUPE CHRYSALIDE
Il accueille des enfants de 4 à 8 ans dans un projet du groupe centré sur le prendre soin de soi dans toutes les dimensions qui concernent l’enfant (rythme de vie, sport, alimentation, scolarité…).

GROUPE ALOHA
Il accueille des enfants de 9 à 12 ans en axant le travail sur la notion de plaisir et le jeu au travers des temps du quotidien.

GROUPE ENVOL
Il accueille des préadolescents de 12 à 15 ans. Le projet est ici centré sur un début d’accès à l’autonomie et la construction d’un parcours scolaire adapté.

GROUPE TEMPO
Dédié aux adolescents de 15 à 18 ans. L’accent est mis sur la responsabilisation des jeunes au quotidien afin de construire leur avenir et la compréhension de leur histoire de placement. Une villa semi-autonome, située dans le parc, est rattachée au groupe pour que les jeunes fassent l’expérience de l’autonomie au quotidien.
"
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS d'Arraye I Association REALISE,54.0,"43 jeunes et adolescent(e)s âgé(e)s de 6 à 16 ans
11 enfants âgé(e)s de 3 à 6 ans"
Ile de France,Val d'Oise,Hébergement,SOS Villages d'Enfants,Village d'enfants SOS de Persan I SOS Villages d'Enfants,45.0,"Intégrés dans un lotissement récent, les pavillons sont tous labellisés BBC (Bâtiment Basse Consommation). Le village d’enfants SOS comprend un projet d’accueil immédiat de fratries et une Maison des Familles.
0-5ans : 11
6-10ans : 22
11-14ans : 12
15-17ans : 4"
Bourgogne Franche Comté,Nièvre,AEMO,Sauvegarde58,SAEMO I Sauvegarde58,475.0,agrément pour 475 mesures dont 40 AEMO à moyens renforcés
Centre Val de Loire,Indre et Loire,AEMO,Sauvegarde 42,AEMO I Sauvegarde 37,482.0,Valeur par défaut
Centre Val de Loire,Loiret,AEMO,La VAGA,AE de l'Orléanais I La VAGA,80.0,"1 espace de rencontres pour permettre à des enfants de rencontrer un parent ou un membre de leur famille dans un lieu neutre, accompagné par des professionnels – 80 mesures en file active."
Ile de France,Yvelines,Hébergement,Asso Jean Cotxet,VM La Parent'aise I Asso Jean Cotxet,,"La Parent’Aise est un service de visites médiatisées en présence d’un tiers, il est situé à Plaisir dans les Yvelines et ouvert depuis septembre 2019. Il répond aux besoins repérés sur le territoire des Yvelines. Il intervient sur décision du juge qui précise les conditions de rencontre entre les parents et leurs enfants."
Hauts de France,Pas de Calais,Hébergement,Apprentis d'Auteuil,MECS Taïssir Tatios I Apprentis d'Auteuil,,"accueille et accompagne des mineurs non accompagnés (MNA) de 15 ans et plus, au sein d'appartement de 3-4 places"
Auvergne Rhône Alpes,Isère,AEMO,La Sauvegarde Isère,AEMO I La Sauvegarde Isère ,606.0,mesures
Auvergne Rhône Alpes,Isère,AEMO,La Sauvegarde Isère,AEMO - R I La Sauvegarde Isère,606.0,mesures
Auvergne Rhône Alpes,Ain,AEMO,ADSEA 01,AEMO I ADSEA 01,747.0,mesures
Bourgogne Franche Comté,Yonne,AEMO,La VAGA,AE du Sénonais I La VAGA,75.0,1 service d’action éducative à domicile de 75 mesures.
Centre Val de Loire,Indre et Loire,Hébergement,Groupe SOS Jeunesse,Monnaie | CAES 37 (MECS + UPI) I Groupe SOS Jeunesse,130.0,"Le CAES 37 accueille des enfants préadolescents et adolescents, filles et garçons, âgés de 10 à 18 ans et des jeunes majeurs, confiés par les services de l’ASE (Aide sociale à l’enfance). La capacité d’accueil est de 80 personnes en MECS et 50 en unité pédagogique."
Centre Val de Loire,Cher,Hébergement,Département du Cher,Centre Départemental pour l'Enfance et la Famille I Département du Cher,128.0,"Le CDEF dispose de 87 places pour le Foyer de l’enfance et 41 places pour le Centre maternel. Il fonctionne 365 jours par an, 24 heures sur 24 et assure dans ses différents services les accueils d’urgence, les séjours à court, moyen et long terme"
Auvergne Rhône Alpes,Allier,AEMO,Adsea,AEMO de Montluçon I Adsea,75.0,"Notre service d’AEMO est habilité pour exercer 75 mesures dans un rayon de 30 minutes autour de Aubenas, Le Teil et Privas."
Auvergne Rhône Alpes,Allier,AEMO,Adsea,AEMO de Moulins I Adsea,70.0,Notre service d'AEMO-R est habilité pour exercer 70 mesures sur Annonay et le sud Ardèche.
Auvergne Rhône Alpes,Allier,AEMO,Adsea,AEMO de Vichy I Adsea,,Valeur par défaut
PACA,Alpes de Haute Provence,AEMO,ADSEA 04,AEMO I ADSEA 04,,Valeur par défaut
PACA,Alpes de Haute Provence,AEMO,Association Timal,AEMO I Association Timal,,des jeunes âgés de 11 ans à 17 ans pour lesquels un accompagnement psycho-éducatif soutenu a été estimé nécessaire.
